Zeit;Fehler
2019-02-28 01:49:52.097111;division by zero
2019-02-28 01:49:53.527748;division by zero
2019-02-28 01:49:55.016223;division by zero
2019-02-28 01:49:56.514660;division by zero
2019-02-28 01:49:58.031134;division by zero
2019-02-28 01:49:59.463073;division by zero
2019-02-28 01:50:00.887419;division by zero
2019-02-28 01:50:02.372842;division by zero
2019-02-28 01:50:03.802150;division by zero
2019-02-28 01:50:05.312794;division by zero
2019-02-28 01:50:06.846925;division by zero
